[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_Content_Portal], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_Content_Portal], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Teams_PrevMed], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Teams_PrevMed], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Applications], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Applications], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_BI], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_BI], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Depts], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Depts], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Depts_BusinessDevelopment], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Depts_BusinessDevelopment], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Depts_HealthcareFinance], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Depts_HealthcareFinance], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Depts_HumanResources], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Depts_HumanResources], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Depts_InfoSystems], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Depts_InfoSystems], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Depts_KCA], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Depts_KCA], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Depts_Marketing], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Depts_Marketing], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Depts_Operations], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Depts_Operations], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_BusinessDevelopment], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_BusinessDevelopment], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_CorporateFinance], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_CorporateFinance], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_HCF], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_HCF], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_HR], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_HR], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_IT], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_IT], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_ManagedCare], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_ManagedCare], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_Operations], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_Operations], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_PatientExperience], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_PatientExperience], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_PhysiciansLunchroom], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_PhysiciansLunchroom], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_StrategicPlanning], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_StrategicPlanning], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Branding, Version=1.0.0.0, Culture=neutral, PublicKeyToken=ad653702e457c72a] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_ThePulse], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_ThePulse], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Pulse, Version=1.0.0.0, Culture=neutral, PublicKeyToken=127807d755163a95] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_BusinessDevelopment], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_BusinessDevelopment], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Pulse, Version=1.0.0.0, Culture=neutral, PublicKeyToken=127807d755163a95] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_CorporateFinance], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_CorporateFinance], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Pulse, Version=1.0.0.0, Culture=neutral, PublicKeyToken=127807d755163a95] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_HCF], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_HCF], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Pulse, Version=1.0.0.0, Culture=neutral, PublicKeyToken=127807d755163a95] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_HR], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_HR], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Pulse, Version=1.0.0.0, Culture=neutral, PublicKeyToken=127807d755163a95] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_IT], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_IT], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Pulse, Version=1.0.0.0, Culture=neutral, PublicKeyToken=127807d755163a95] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_ManagedCare], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_ManagedCare], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Pulse, Version=1.0.0.0, Culture=neutral, PublicKeyToken=127807d755163a95] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_Operations], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_Operations], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Pulse, Version=1.0.0.0, Culture=neutral, PublicKeyToken=127807d755163a95] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_PatientExperience], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_PatientExperience], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Pulse, Version=1.0.0.0, Culture=neutral, PublicKeyToken=127807d755163a95] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_PhysiciansLunchroom], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_PhysiciansLunchroom], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Pulse, Version=1.0.0.0, Culture=neutral, PublicKeyToken=127807d755163a95] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_StrategicPlanning], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_StrategicPlanning], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [KSC.SharePoint.Pulse, Version=1.0.0.0, Culture=neutral, PublicKeyToken=127807d755163a95] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_ThePulse], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_ThePulse], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
