"Name","Depth","Description","whenCreated","whenChanged","DistinguishedName"
"Administrator Accounts","3",,"8/29/2013 2:30:02 PM","5/19/2021 4:19:10 PM","OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"Clinical Admin Coordinators","3",,"10/26/2017 1:04:26 PM","5/19/2021 4:19:03 PM","OU=Clinical Admin Coordinators,OU=Senior Dimensions,OU=SMA/Optum,DC=USON,DC=LOCAL"
"DOCTORS","4",,"11/1/2016 2:19:06 PM","5/19/2021 4:19:03 PM","OU=DOCTORS,OU=PROVIDERS,OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL"
"VENDORS","3",,"7/12/2011 8:54:02 AM","5/19/2021 4:19:03 PM","OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"Remote Physics Support","5",,"2/12/2014 8:14:10 AM","5/19/2021 4:19:03 PM","OU=Remote Physics Support,OU=MT VIEW,OU=RADIATION ONCOLOGY,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"UHG-Tenaya","3",,"11/2/2017 8:11:40 AM","5/19/2021 4:19:03 PM","OU=UHG-Tenaya,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"TEMPS","3",,"11/1/2016 2:19:26 PM","5/19/2021 4:19:03 PM","OU=TEMPS,OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL"
"Varian","4",,"9/27/2011 3:56:16 PM","5/19/2021 4:19:03 PM","OU=Varian,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"ELIGIBILITY","2",,"7/12/2011 8:59:29 AM","5/19/2021 4:19:03 PM","OU=ELIGIBILITY,OU=MSO,DC=USON,DC=LOCAL"
"RESPIRATORY THERAPIST","4",,"11/15/2017 9:37:17 AM","5/19/2021 4:19:03 PM","OU=RESPIRATORY THERAPIST,OU=PROVIDERS,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"GENERAL USERS","3",,"11/1/2016 2:16:49 PM","5/19/2021 4:19:03 PM","OU=GENERAL USERS,OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL"
"Delegated Authority Accounts","3",,"2/13/2020 3:25:37 PM","5/19/2021 4:19:12 PM","OU=Delegated Authority Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"TEMPS","3",,"12/4/2014 11:55:53 AM","5/19/2021 4:19:03 PM","OU=TEMPS,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"Fort Apache","3",,"12/18/2017 1:35:26 PM","5/19/2021 4:19:03 PM","OU=Fort Apache,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"ORTHO COMPUTERS","3",,"11/1/2016 2:18:23 PM","5/19/2021 4:19:03 PM","OU=ORTHO COMPUTERS,OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL"
"USON","1",,"7/11/2011 12:49:53 PM","5/24/2021 8:19:47 AM","OU=USON,DC=USON,DC=LOCAL"
"USONFTA Local Admin","4",,"2/6/2018 3:11:19 PM","5/19/2021 4:19:03 PM","OU=USONFTA Local Admin,OU=Fort Apache,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"Patient Services","2",,"8/20/2018 1:29:06 PM","5/19/2021 4:19:03 PM","OU=Patient Services,OU=SMA/Optum,DC=USON,DC=LOCAL"
"ORTHO LAPTOPS","4",,"11/1/2016 2:18:55 PM","5/19/2021 4:19:03 PM","OU=ORTHO LAPTOPS,OU=ORTHO COMPUTERS,OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL"
"SERVERS","2",,"7/11/2011 1:16:08 PM","7/26/2021 6:10:58 AM","OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"USONFTA NSSL","4",,"2/6/2018 3:11:47 PM","5/19/2021 4:19:03 PM","OU=USONFTA NSSL,OU=Fort Apache,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"MEDICAL RECORDS","3",,"11/29/2016 10:46:32 AM","5/19/2021 4:19:03 PM","OU=MEDICAL RECORDS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"Certificate Services","3",,"11/5/2019 2:22:29 PM","5/19/2021 4:19:10 PM","OU=Certificate Services,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"OPTUMCARE ANESTHESIA","2",,"5/31/2018 2:15:06 PM","5/19/2021 4:19:03 PM","OU=OPTUMCARE ANESTHESIA,OU=MSO,DC=USON,DC=LOCAL"
"NDA","1","New Domain Architecture","6/11/2020 3:28:08 PM","7/26/2021 6:10:58 AM","OU=NDA,DC=USON,DC=LOCAL"
"MID-LEVEL","4",,"5/11/2017 8:19:56 AM","5/19/2021 4:19:03 PM","OU=MID-LEVEL,OU=PROVIDERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"PROVIDERS","3",,"7/11/2016 2:19:06 PM","5/19/2021 4:19:03 PM","OU=PROVIDERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"FT. Apache","4",,"1/9/2018 9:59:42 AM","5/19/2021 4:19:03 PM","OU=FT. Apache,OU=GENERAL USERS,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"MSO","2",,"6/11/2020 4:12:26 PM","5/19/2021 4:19:12 PM","OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"TO BE DELETED","3",,"12/12/2016 12:30:24 PM","5/19/2021 4:19:03 PM","OU=TO BE DELETED,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"DOCTORS","4",,"12/9/2013 11:07:33 AM","5/19/2021 4:19:03 PM","OU=DOCTORS,OU=PROVIDERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"NV750 - Switch NAP7","3","SWITCH","6/11/2020 3:38:55 PM","5/19/2021 4:19:12 PM","OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"TOUCHDOWN","5",,"2/7/2018 1:34:17 PM","5/19/2021 4:19:03 PM","OU=TOUCHDOWN,OU=FT. Apache,OU=GENERAL USERS,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"UNLV RESIDENCY","4",,"12/14/2016 2:38:46 PM","5/19/2021 4:19:03 PM","OU=UNLV RESIDENCY,OU=PROVIDERS,OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL"
"OLD","4",,"2/11/2015 1:29:58 PM","5/19/2021 4:19:03 PM","OU=OLD,OU=GENERAL USERS,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"Servers","4",,"6/12/2020 3:26:22 PM","9/9/2021 7:36:49 AM","OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"Contractors","2",,"2/23/2018 1:29:23 PM","5/19/2021 4:19:03 PM","OU=Contractors,OU=SMA/Optum,DC=USON,DC=LOCAL"
"Temps","3",,"5/22/2015 3:02:05 PM","5/19/2021 4:19:03 PM","OU=Temps,OU=ELIGIBILITY,OU=MSO,DC=USON,DC=LOCAL"
"VIRTUAL","5",,"6/12/2020 3:26:41 PM","5/19/2021 4:19:12 PM","OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"PULMONOLOGY","2",,"12/8/2016 2:07:33 PM","5/19/2021 4:19:03 PM","OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"CONTRACTOR","3",,"4/6/2018 3:14:03 PM","5/19/2021 4:19:03 PM","OU=CONTRACTOR,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"CITRIX","6",,"4/2/2021 9:49:27 AM","9/9/2021 7:36:49 AM","OU=CITRIX,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"Z Temps","3",,"3/26/2014 3:08:20 PM","5/19/2021 4:19:03 PM","OU=Z Temps,OU=BILLING,OU=MSO,DC=USON,DC=LOCAL"
"PROVIDERS","3",,"1/17/2017 12:48:05 PM","5/19/2021 4:19:03 PM","OU=PROVIDERS,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"Test Environment","1",,"10/23/2013 10:50:46 AM","5/19/2021 4:19:03 PM","OU=Test Environment,DC=USON,DC=LOCAL"
"Citrix Infrastructure","7",,"4/2/2021 9:49:50 AM","5/19/2021 4:19:22 PM","OU=Citrix Infrastructure,OU=CITRIX,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"Testing","4",,"10/1/2015 11:02:06 AM","5/19/2021 4:19:03 PM","OU=Testing,OU=GENERAL USERS,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"DOCTORS","4",,"1/17/2017 12:50:19 PM","5/19/2021 4:19:03 PM","OU=DOCTORS,OU=PROVIDERS,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"Citrix Delivery Controllers","8",,"4/21/2021 3:31:40 PM","5/19/2021 4:19:22 PM","OU=Citrix Delivery Controllers,OU=Citrix Infrastructure,OU=CITRIX,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"Test Servers","2",,"3/13/2018 2:01:51 PM","5/19/2021 4:19:03 PM","OU=Test Servers,OU=Test Environment,DC=USON,DC=LOCAL"
"IM DEL WEBB","4",,"2/19/2015 8:39:52 AM","5/19/2021 4:19:03 PM","OU=IM DEL WEBB,OU=GENERAL USERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"CASTING TECH","3",,"2/7/2017 2:21:23 PM","5/19/2021 4:19:03 PM","OU=CASTING TECH,OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL"
"SVC ACCT TEST","3",,"9/29/2013 10:56:56 AM","5/19/2021 4:19:03 PM","OU=SVC ACCT TEST,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Test TERMINAL SERVERS","3",,"3/13/2018 2:04:16 PM","5/19/2021 4:19:03 PM","OU=Test TERMINAL SERVERS,OU=Test Servers,OU=Test Environment,DC=USON,DC=LOCAL"
"FT. APACHE EXAM ROOMS","4",,"2/24/2017 1:09:22 PM","5/19/2021 4:19:03 PM","OU=FT. APACHE EXAM ROOMS,OU=GENERAL USERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"MSO-Eastern","3",,"6/12/2018 11:10:11 AM","5/19/2021 4:19:03 PM","OU=MSO-Eastern,OU=MSO COMPUTERS,OU=MSO,DC=USON,DC=LOCAL"
"IM Image PC's","4",,"7/30/2015 10:49:56 AM","5/19/2021 4:19:03 PM","OU=IM Image PC's,OU=GENERAL USERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"MID-LEVEL","4",,"4/20/2017 1:38:22 PM","5/19/2021 4:19:03 PM","OU=MID-LEVEL,OU=PROVIDERS,OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL"
"RDSSERVERS","6",,"7/21/2020 9:42:45 AM","5/19/2021 4:19:14 PM","OU=RDSSERVERS,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"ROCNV","2",,"6/12/2018 10:31:07 AM","5/19/2021 4:19:03 PM","OU=ROCNV,OU=OMP,DC=USON,DC=LOCAL"
"IM COMPUTERS","3",,"2/3/2014 12:16:41 PM","5/19/2021 4:19:03 PM","OU=IM COMPUTERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"MA","3",,"4/14/2017 2:35:08 PM","5/19/2021 4:19:03 PM","OU=MA,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"RDSManagementServers","7",,"7/21/2020 9:43:06 AM","5/19/2021 4:19:14 PM","OU=RDSManagementServers,OU=RDSSERVERS,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"NVCS Research Foundation","3",,"9/28/2018 11:01:06 AM","5/19/2021 4:19:03 PM","OU=NVCS Research Foundation,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"IM HORIZON","4",,"2/3/2014 12:17:07 PM","5/19/2021 4:19:03 PM","OU=IM HORIZON,OU=IM COMPUTERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"CASE MANAGER","3",,"10/10/2017 11:10:54 AM","5/19/2021 4:19:03 PM","OU=CASE MANAGER,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"RemoteDesktopServers","3",,"12/17/2019 1:05:26 PM","5/19/2021 4:19:10 PM","OU=RemoteDesktopServers,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Pulse VPN","3",,"3/18/2020 9:54:39 AM","5/19/2021 4:19:03 PM","OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"MEDICAL RECORDS","3",,"1/6/2017 1:05:43 PM","5/19/2021 4:19:03 PM","OU=MEDICAL RECORDS,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"IM DEL WEBB","4",,"2/3/2014 12:17:32 PM","5/19/2021 4:19:03 PM","OU=IM DEL WEBB,OU=IM COMPUTERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"RemoteDesktopManagementServers","4",,"12/18/2019 9:17:59 AM","5/19/2021 4:19:10 PM","OU=RemoteDesktopManagementServers,OU=RemoteDesktopServers,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"PATIENT SERVICES","3",,"9/28/2017 9:17:34 AM","5/19/2021 4:19:03 PM","OU=PATIENT SERVICES,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"Optum 360","2",,"12/17/2018 8:04:23 AM","5/19/2021 4:19:03 PM","OU=Optum 360,OU=SMA/Optum,DC=USON,DC=LOCAL"
"IMDW NSSL","5","No Screen Saver Lock","7/30/2015 11:30:19 AM","5/19/2021 4:19:03 PM","OU=IMDW NSSL,OU=IM DEL WEBB,OU=IM COMPUTERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"SECURITY GROUPS","2",,"7/12/2011 8:53:13 AM","5/19/2021 4:19:03 PM","OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"NVCS-MTV5","4",,"7/12/2017 1:05:08 PM","5/19/2021 4:19:03 PM","OU=NVCS-MTV5,OU=NVCS COMPUTERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"RANCHO EXAM ROOMS","4",,"12/6/2018 1:00:48 PM","5/19/2021 4:19:03 PM","OU=RANCHO EXAM ROOMS,OU=GENERAL USERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"IMH NSSL","5","No Screen Saver Lock","7/30/2015 11:29:50 AM","5/19/2021 4:19:03 PM","OU=IMH NSSL,OU=IM HORIZON,OU=IM COMPUTERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"NVCS-MTV5 EXAM ROOMS","4",,"7/12/2017 1:05:34 PM","5/19/2021 4:19:03 PM","OU=NVCS-MTV5 EXAM ROOMS,OU=GENERAL USERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"Service Accounts","3",,"11/6/2019 3:19:21 PM","5/19/2021 4:19:10 PM","OU=Service Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"TERMINAL SERVERS","3",,"8/7/2011 3:05:27 AM","5/19/2021 4:19:03 PM","OU=TERMINAL SERVERS,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"IM PCT","4",,"12/16/2015 10:34:25 AM","5/19/2021 4:19:03 PM","OU=IM PCT,OU=IM COMPUTERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"CONTACTS","3",,"7/25/2017 8:44:29 AM","5/19/2021 4:19:03 PM","OU=CONTACTS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"USERS","2",,"7/11/2011 12:50:14 PM","5/19/2021 4:19:03 PM","OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"TS FOLDER REDIRECTION","4",,"4/23/2018 11:26:44 AM","5/19/2021 4:19:03 PM","OU=TS FOLDER REDIRECTION,OU=TERMINAL SERVERS,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"USONGR NSSL","4","No Screen Saver Lock","8/21/2014 8:28:55 AM","5/19/2021 4:19:03 PM","OU=USONGR NSSL,OU=Gold Ring,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"7 HILLS EXAM ROOMS","4",,"8/4/2017 3:09:18 PM","5/19/2021 4:19:03 PM","OU=7 HILLS EXAM ROOMS,OU=GENERAL USERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"MANAGEMENT","3",,"7/12/2011 8:11:09 AM","5/19/2021 4:19:03 PM","OU=MANAGEMENT,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"NVCS-RANCHO","4",,"12/6/2018 1:24:29 PM","5/19/2021 4:19:03 PM","OU=NVCS-RANCHO,OU=NVCS COMPUTERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"MSO COMPUTERS","2",,"4/22/2014 2:31:50 PM","5/19/2021 4:19:03 PM","OU=MSO COMPUTERS,OU=MSO,DC=USON,DC=LOCAL"
"USONGV NSSL","4","No Screen Saver Lock","1/17/2014 10:53:56 AM","5/19/2021 4:19:03 PM","OU=USONGV NSSL,OU=Green Valley,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"COMPUTERS","2",,"7/12/2011 8:50:16 AM","9/17/2021 10:14:38 AM","OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"Laptops","3",,"3/18/2015 12:21:49 PM","5/19/2021 4:19:03 PM","OU=Laptops,OU=MSO COMPUTERS,OU=MSO,DC=USON,DC=LOCAL"
"HORIZON EXAM ROOMS","4",,"2/11/2015 1:59:13 PM","5/19/2021 4:19:03 PM","OU=HORIZON EXAM ROOMS,OU=GENERAL USERS,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"USONMV NSSL","4","No Screen Saver Lock","3/12/2014 10:27:33 AM","5/19/2021 4:19:03 PM","OU=USONMV NSSL,OU=Mountain View,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"LAPTOPS","3",,"7/12/2011 8:50:58 AM","5/19/2021 4:19:03 PM","OU=LAPTOPS,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"NURSE","3",,"8/31/2017 3:06:20 PM","5/19/2021 4:19:03 PM","OU=NURSE,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"RADIATION ONCOLOGY","3",,"7/13/2011 10:08:12 AM","5/19/2021 4:19:03 PM","OU=RADIATION ONCOLOGY,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"New Pueblo","1",,"3/13/2019 2:26:51 PM","5/19/2021 4:19:03 PM","OU=New Pueblo,DC=USON,DC=LOCAL"
"MARKETING","3",,"4/5/2016 1:44:18 PM","5/19/2021 4:19:03 PM","OU=MARKETING,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"Optum Auditing","2",,"9/1/2017 2:45:18 PM","5/19/2021 4:19:03 PM","OU=Optum Auditing,OU=SMA/Optum,DC=USON,DC=LOCAL"
"CONTACTS","2",,"7/12/2011 8:52:59 AM","5/19/2021 4:19:03 PM","OU=CONTACTS,OU=USON,DC=USON,DC=LOCAL"
"NURSE","3",,"7/26/2011 8:15:20 AM","5/19/2021 4:19:03 PM","OU=NURSE,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"Management","2",,"3/13/2019 2:29:16 PM","5/19/2021 4:19:03 PM","OU=Management,OU=New Pueblo,DC=USON,DC=LOCAL"
"BREAST CARE","3",,"9/12/2017 3:30:22 PM","5/19/2021 4:19:03 PM","OU=BREAST CARE,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"PA","3",,"7/12/2011 8:54:35 AM","5/19/2021 4:19:03 PM","OU=PA,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"MID-LEVEL","4",,"7/7/2016 10:57:46 AM","5/19/2021 4:19:03 PM","OU=MID-LEVEL,OU=PROVIDERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"SPECIAL","3",,"7/26/2011 6:37:20 PM","5/19/2021 4:19:03 PM","OU=SPECIAL,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"ROCNV SECURITY GROUPS","3",,"4/4/2019 10:21:54 AM","5/19/2021 4:19:03 PM","OU=ROCNV SECURITY GROUPS,OU=ROCNV,OU=OMP,DC=USON,DC=LOCAL"
"NVCS-7Hills","4",,"9/22/2017 11:28:54 AM","5/19/2021 4:19:03 PM","OU=NVCS-7Hills,OU=NVCS COMPUTERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"DOCTORS","3",,"7/12/2011 8:54:48 AM","5/19/2021 4:19:03 PM","OU=DOCTORS,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"IM LAPTOPS","4",,"2/2/2015 12:37:10 PM","5/19/2021 4:19:03 PM","OU=IM LAPTOPS,OU=IM COMPUTERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"PATIENT SERVICES","3",,"7/27/2011 1:13:11 PM","5/19/2021 4:19:03 PM","OU=PATIENT SERVICES,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"Terminal Server Local Profiles","3",,"2/27/2018 12:21:03 PM","5/19/2021 4:19:03 PM","OU=Terminal Server Local Profiles,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"MANAGEMENT","3",,"9/28/2017 12:41:01 PM","5/19/2021 4:19:03 PM","OU=MANAGEMENT,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"MA","3",,"7/12/2011 8:55:13 AM","5/19/2021 4:19:03 PM","OU=MA,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"IT Computers","3",,"6/20/2013 8:03:18 AM","5/19/2021 4:19:03 PM","OU=IT Computers,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"CHART CHECK","3",,"7/27/2011 2:17:42 PM","5/19/2021 4:19:03 PM","OU=CHART CHECK,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"GENERAL USERS","3",,"8/18/2017 12:41:09 PM","5/19/2021 4:19:03 PM","OU=GENERAL USERS,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
