"Name","AdminCount","GroupCategory","GroupScope","ManagedBy","SID","SIDHistory","Description","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"MTS_OPT_POPHEALTH",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4269","","","7/24/2015 11:52:16 AM","6/22/2021 10:46:44 AM","CN=MTS_OPT_POPHEALTH,OU=MTS_OPT,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_OPT/MTS_OPT_POPHEALTH"
"ROCNV Truebeam",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8152","","VPN Role Mapping to ROCNV Truebeam machines","11/11/2019 1:45:34 PM","5/19/2021 4:19:10 PM","CN=ROCNV Truebeam,OU=ROCNV SECURITY GROUPS,OU=ROCNV,OU=OMP,DC=USON,DC=LOCAL","USON.LOCAL/OMP/ROCNV/ROCNV SECURITY GROUPS/ROCNV Truebeam"
"PULMO MA",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5603","","","9/22/2017 11:03:05 AM","9/21/2021 9:17:28 AM","CN=PULMO MA,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/PULMO MA"
"Records Management",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-3782","","Members of this management role group can configure compliance features such as retention policy tags, message classifications, transport rules, and more.","6/30/2014 11:28:04 AM","5/19/2021 4:19:03 PM","CN=Records Management,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Records Management"
"ORTHO STAFF",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5222","","","11/2/2016 11:40:17 AM","9/23/2021 12:24:40 PM","CN=ORTHO STAFF,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/ORTHO STAFF"
"SQLServerAdminsGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8636","","","12/4/2019 4:24:28 PM","5/19/2021 4:19:26 PM","CN=SQLServerAdminsGG,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/SQLServerAdminsGG"
"ORTHO CHARGES",,"Distribution","Universal","Dax Admin","S-1-5-21-2571279217-2041782082-3149958405-5973","","","6/14/2018 8:58:04 AM","8/25/2021 1:23:26 PM","CN=ORTHO CHARGES,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/ORTHO CHARGES"
"NVCS STAFF",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5202","","","10/18/2016 10:19:48 AM","10/4/2021 7:29:26 AM","CN=NVCS STAFF,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/NVCS STAFF"
"Discovery Management",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-3783","","Members of this management role group can perform searches of mailboxes in the Exchange organization for data that meets specific criteria.","6/30/2014 11:28:04 AM","5/19/2021 4:19:03 PM","CN=Discovery Management,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Discovery Management"
"SQLServerAdminsDL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-8635","","","12/4/2019 4:24:08 PM","5/19/2021 4:19:10 PM","CN=SQLServerAdminsDL,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/SQLServerAdminsDL"
"OPTUM_DOCUMENTS_ADMIN_USON",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3725","","","2/6/2014 2:19:47 PM","5/19/2021 4:19:03 PM","CN=OPTUM_DOCUMENTS_ADMIN_USON,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OPTUM_DOCUMENTS_ADMIN_USON"
"CalegariFax",,"Distribution","Universal","USON IT DELEGATED AUTH","S-1-5-21-2571279217-2041782082-3149958405-5453","","","7/24/2017 2:15:29 PM","9/17/2021 9:53:26 AM","CN=CalegariFax,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/CalegariFax"
"IT_TechniciansDL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-8637","","","12/6/2019 1:42:28 PM","5/19/2021 4:19:10 PM","CN=IT_TechniciansDL,OU=IT Technicians,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/IT Technicians/IT_TechniciansDL"
"Server Management",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-3784","","Members of this management role group have permissions to manage all Exchange servers within the Exchange organization, but members don't have permissions to perform operations that have global impact in the Exchange organization.","6/30/2014 11:28:04 AM","5/19/2021 4:19:17 PM","CN=Server Management,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Server Management"
"OPTUM_DOCUMENTS_ADMIN",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3694","","","11/22/2013 4:00:35 PM","5/19/2021 4:19:17 PM","CN=OPTUM_DOCUMENTS_ADMIN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OPTUM_DOCUMENTS_ADMIN"
"IT_TechniciansGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8638","","","12/6/2019 1:42:57 PM","5/19/2021 4:19:15 PM","CN=IT_TechniciansGG,OU=IT Technicians,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/IT Technicians/IT_TechniciansGG"
"USON FRONT OFFICE STAFF",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-4075","","","1/21/2016 3:59:51 PM","9/23/2021 12:24:40 PM","CN=USON FRONT OFFICE STAFF,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/USON FRONT OFFICE STAFF"
"USON FILES",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4295","","\\usonvsvrfs01\USON","12/27/2017 9:44:10 AM","9/23/2021 1:39:24 PM","CN=USON FILES,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON FILES"
"Delegated Setup",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-3785","","Members of this management role group have permissions to install and uninstall Exchange on provisioned servers. This role group shouldn't be deleted.","6/30/2014 11:28:04 AM","5/19/2021 4:19:03 PM","CN=Delegated Setup,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Delegated Setup"
"CAServerAdminsDL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-9109","","To be assigned in permissions","12/13/2019 10:06:19 AM","5/19/2021 4:19:10 PM","CN=CAServerAdminsDL,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/CAServerAdminsDL"
"ORTH PROVIDERS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5220","","","11/2/2016 11:39:24 AM","9/16/2021 12:24:14 PM","CN=ORTHO PROVIDERS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/ORTHO PROVIDERS"
"USON AD RESET & UNLOCK PASSWORD",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-5384","","Delegate Control Password Unlock & Reset","6/1/2017 8:21:48 AM","5/19/2021 4:19:06 PM","CN=USON AD RESET & UNLOCK PASSWORD,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON AD RESET & UNLOCK PASSWORD"
"RDSAdminDL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-8175","","","12/17/2019 8:25:57 AM","5/19/2021 4:19:10 PM","CN=RDSAdminDL,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/RDSAdminDL"
"OPTUM_DOCUMENTS_OPERATIONS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-4022","","","8/17/2015 4:10:26 PM","5/19/2021 4:19:03 PM","CN=OPTUM_DOCUMENTS_OPERATIONS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OPTUM_DOCUMENTS_OPERATIONS"
"Hygiene Management",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-3786","","Members of this management role group can manage Exchange anti-spam features and grant permissions for antivirus products to integrate with Exchange.","6/30/2014 11:28:04 AM","5/19/2021 4:19:03 PM","CN=Hygiene Management,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Hygiene Management"
"RDSConnectionBrokers",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8179","","","12/17/2019 1:06:35 PM","5/19/2021 4:19:14 PM","CN=RDSConnectionBrokers,OU=RemoteDesktopManagementServers,OU=RemoteDesktopServers,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SERVERS/RemoteDesktopServers/RemoteDesktopManagementServers/RDSConnectionBrokers"
"USON APC Report",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5162","","","9/12/2016 12:47:38 PM","5/19/2021 4:19:08 PM","CN=USON APC Report,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/USON APC Report"
"FAXMAKER",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5416","","faxmaker access(give access to fax via faxmaker)","6/28/2017 1:15:20 PM","10/4/2021 7:29:26 AM","CN=FAXMAKER,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/FAXMAKER"
"Exchange Servers",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3787","","This group contains all the Exchange servers. This group shouldn't be deleted.","6/30/2014 11:28:05 AM","5/19/2021 4:19:22 PM","CN=Exchange Servers,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Exchange Servers"
"RemoteDesktopSessionHostsDL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-8649","","","12/18/2019 2:46:15 PM","5/19/2021 4:19:10 PM","CN=RemoteDesktopSessionHostsDL,OU=RemoteDesktopSessionHosts,OU=RemoteDesktopServers,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SERVERS/RemoteDesktopServers/RemoteDesktopSessionHosts/RemoteDesktopSessionHostsDL"
"USON_UNENROLLED_PATIENTS",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-4272","","","9/2/2015 12:59:54 PM","7/9/2021 4:55:02 PM","CN=USON_UNENROLLED_PATIENTS,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/USON_UNENROLLED_PATIENTS"
"Anes_Billing",,"Distribution","Universal","Wil Admin","S-1-5-21-2571279217-2041782082-3149958405-5948","","","5/24/2018 12:03:40 PM","9/23/2021 2:24:24 PM","CN=Anes_Billing,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/Anes_Billing"
"RDSAdminGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8176","","","12/17/2019 8:26:14 AM","6/9/2021 6:14:26 PM","CN=RDSAdminGG,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/RDSAdminGG"
"USON DOCTOR CREDENTIALING",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3238","","","9/17/2012 10:10:49 AM","6/11/2021 11:58:20 AM","CN=USON DOCTOR CREDENTIALING,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON DOCTOR CREDENTIALING"
"Exchange Trusted Subsystem","1","Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3788","","This group contains Exchange servers that run Exchange cmdlets on behalf of users via the management service. Its members have permission to read and modify all Exchange configuration, as well as user accounts and groups. This group should not be deleted.","6/30/2014 11:28:05 AM","5/19/2021 4:19:22 PM","CN=Exchange Trusted Subsystem,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Exchange Trusted Subsystem"
"FSAdminDL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-9117","","","12/26/2019 8:28:59 AM","5/19/2021 4:19:10 PM","CN=FSAdminDL,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/FSAdminDL"
"USON ALL USERS SEND",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3664","","","9/16/2013 5:33:09 PM","5/19/2021 4:19:15 PM","CN=USON ALL USERS SEND,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON ALL USERS SEND"
"NVCS Mid-Level",,"Security","Universal","Tim Admin","S-1-5-21-2571279217-2041782082-3149958405-5859","","","3/2/2018 11:22:41 AM","9/30/2021 9:08:30 AM","CN=NVCS Mid-Level,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/NVCS Mid-Level"
"FSAdminGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-9118","","","12/26/2019 8:29:10 AM","5/19/2021 4:19:26 PM","CN=FSAdminGG,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/FSAdminGG"
"Exchange All Hosted Organizations",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3789","","This group contains all the Exchange Hosted Organization Mailboxes groups. It's used for applying password setting objects to all hosted mailboxes.This group shouldn't be deleted.","6/30/2014 11:28:05 AM","5/19/2021 4:19:03 PM","CN=Exchange All Hosted Organizations,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Exchange All Hosted Organizations"
"Shoretel System Config",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3153","","","1/13/2012 2:39:03 PM","5/19/2021 4:19:03 PM","CN=Shoretel System Config,OU=Shoretel,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/VENDORS/Shoretel/Shoretel System Config"
"$DUPLICATE-1944",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-6468","","","1/16/2019 9:37:02 AM","9/27/2021 3:26:09 PM","CN=ORTHO MANAGERS\0ACNF:176a9845-360c-416b-a3af-5cffe5424b2b,OU=MANAGEMENT,OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL","USON.LOCAL/OMP/ORTHO/MANAGEMENT/ORTHO MANAGERS
CNF:176a9845-360c-416b-a3af-5cffe5424b2b"
"CAServerAdminsGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-9110","","Can Administrer Certificate Authorities","12/13/2019 10:06:36 AM","5/19/2021 4:19:26 PM","CN=CAServerAdminsGG,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/CAServerAdminsGG"
"USON ALL USERS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2088","","","7/27/2011 2:15:40 PM","5/19/2021 4:19:03 PM","CN=USON ALL USERS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON ALL USERS"
"Exchange Windows Permissions",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3790","","This group contains Exchange servers that run Exchange cmdlets on behalf of users via the management service. Its members have permission to read and modify all Windows accounts and groups. This group should not be deleted.","6/30/2014 11:28:05 AM","5/19/2021 4:19:03 PM","CN=Exchange Windows Permissions,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Exchange Windows Permissions"
"RemoteDesktopSessionHostsGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8650","","","12/18/2019 2:46:37 PM","5/19/2021 4:19:14 PM","CN=RemoteDesktopSessionHostsGG,OU=RemoteDesktopSessionHosts,OU=RemoteDesktopServers,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SERVERS/RemoteDesktopServers/RemoteDesktopSessionHosts/RemoteDesktopSessionHostsGG"
"Care Everywhere Support",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-6596","","VPN, and Local Admin on Baxter Servers","5/16/2019 1:23:08 PM","5/19/2021 4:19:06 PM","CN=Care Everywhere Support,OU=Care Everywhere LLC,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/VENDORS/Care Everywhere LLC/Care Everywhere Support"
"USON MEDICAL RECORDS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2074","","","7/27/2011 1:41:58 PM","5/19/2021 4:19:08 PM","CN=USON MEDICAL RECORDS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON MEDICAL RECORDS"
"ExchangeLegacyInterop",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3791","","This group is for interoperability with Exchange 2003 servers within the same forest. This group should not be deleted.","6/30/2014 11:28:05 AM","5/19/2021 4:19:03 PM","CN=ExchangeLegacyInterop,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/ExchangeLegacyInterop"
"ROCNV Staff",,"Distribution","Universal","USON IT","S-1-5-21-2571279217-2041782082-3149958405-9144","","ROCNV Staff Distribution Group","1/29/2020 10:16:04 AM","9/23/2021 8:24:15 AM","CN=ROCNV Staff,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/ROCNV Staff"
"ORTH MID-LEVEL",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5221","","","11/2/2016 11:39:48 AM","5/19/2021 4:19:10 PM","CN=ORTHO MID-LEVEL,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/ORTHO MID-LEVEL"
"MTS_OPT_PROD_NODRIVEMAPPING",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4238","","","4/28/2014 8:50:51 AM","5/19/2021 4:19:06 PM","CN=MTS_OPT_PROD_NODRIVEMAPPING,OU=MTS_OPT,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_OPT/MTS_OPT_PROD_NODRIVEMAPPING"
"PDF.STUDIO.PRO_FSLogix",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8204","","","2/7/2020 10:07:55 AM","8/3/2021 7:52:43 AM","CN=PDF24PRO_FSLogix,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/PDF24PRO_FSLogix"
"USON PA",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2076","","","7/27/2011 1:42:52 PM","5/19/2021 4:19:15 PM","CN=USON PA,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON PA"
