"RemoteAddress","RemotePort","OwningProcess","PSComputerName"
"0.0.0.0","0","4132","LASCHAT04"
"0.0.0.0","0","1068","LASCHAT04"
"0.0.0.0","0","2180","LASCHAT04"
"127.0.0.1","8011","2240","LASCHAT04"
"127.0.0.1","8011","2240","LASCHAT04"
"127.0.0.1","8011","2240","LASCHAT04"
"127.0.0.1","8011","2240","LASCHAT04"
"127.0.0.1","8012","2188","LASCHAT04"
"127.0.0.1","8011","2212","LASCHAT04"
"127.0.0.1","8011","4132","LASCHAT04"
"0.0.0.0","0","616","LASCHAT04"
"65.52.108.220","443","1068","LASCHAT04"
"0.0.0.0","0","608","LASCHAT04"
"0.0.0.0","0","1124","LASCHAT04"
"0.0.0.0","0","1700","LASCHAT04"
"0.0.0.0","0","1836","LASCHAT04"
"192.168.17.57","51485","1068","LASCHAT04"
"192.168.17.57","51483","1068","LASCHAT04"
"0.0.0.0","0","1068","LASCHAT04"
"0.0.0.0","0","616","LASCHAT04"
"0.0.0.0","0","1016","LASCHAT04"
"0.0.0.0","0","460","LASCHAT04"
"0.0.0.0","0","4","LASCHAT04"
"0.0.0.0","0","2240","LASCHAT04"
"127.0.0.1","50807","2180","LASCHAT04"
"0.0.0.0","0","2180","LASCHAT04"
"127.0.0.1","65392","2180","LASCHAT04"
"127.0.0.1","49734","2180","LASCHAT04"
"127.0.0.1","64427","2180","LASCHAT04"
"127.0.0.1","51033","2180","LASCHAT04"
"127.0.0.1","50512","2180","LASCHAT04"
"127.0.0.1","64951","2180","LASCHAT04"
"0.0.0.0","0","2180","LASCHAT04"
"0.0.0.0","0","2180","LASCHAT04"
"0.0.0.0","0","2180","LASCHAT04"
"0.0.0.0","0","4","LASCHAT04"
"0.0.0.0","0","916","LASCHAT04"
"0.0.0.0","0","1124","LASCHAT04"
"0.0.0.0","0","1124","LASCHAT04"
"0.0.0.0","0","1124","LASCHAT04"
"0.0.0.0","0","1124","LASCHAT04"
"192.168.11.12","50182","4","LASCHAT04"
"0.0.0.0","0","4","LASCHAT04"
"192.168.17.57","51481","768","LASCHAT04"
"192.168.17.57","51480","768","LASCHAT04"
"0.0.0.0","0","768","LASCHAT04"
"0.0.0.0","0","4","LASCHAT04"
"0.0.0.0","0","2188","LASCHAT04"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"::","0",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"192.168.70.51","8010",,"LASCHATWEB01"
"0.0.0.0","0",,"LASCHATWEB01"
"192.168.11.93","445",,"LASCHATWEB01"
"0.0.0.0","0",,"LASCHATWEB01"
"0.0.0.0","0",,"LASCHATWEB01"
"0.0.0.0","0",,"LASCHATWEB01"
"0.0.0.0","0",,"LASCHATWEB01"
"192.168.17.57","51489",,"LASCHATWEB01"
"192.168.17.57","51491",,"LASCHATWEB01"
"192.168.17.57","51430",,"LASCHATWEB01"
"192.168.17.57","51411",,"LASCHATWEB01"
"0.0.0.0","0",,"LASCHATWEB01"
"0.0.0.0","0",,"LASCHATWEB01"
"0.0.0.0","0",,"LASCHATWEB01"
"192.168.17.40","64009",,"LASCHATWEB01"
"192.168.17.80","53253",,"LASCHATWEB01"
