Source_Role,Destination_Role,Port,Protocol,Description,DefaultAuthentication,SupportedAuthentication,EncryptionSupported,EncryptedbyDefault,Notes
Database-MAPI,Hub-Transport,135,TCP,RPC,NTLM. If the Hub Transport and the Mailbox server roles are on the same server-Kerberos is used.,NTLM/Kerberos,Yes-using RPC encryption,Yes,
OCS,Client-Access,5075-5077,TCP,???,mTLS (Required),mTLS (Required),Yes-using SSL,Yes,
Proxy-Internal,Client-Access,443,TCP,HTTPS,Varies,Varies,Varies,Yes,
Proxy-Internal,Client-Access,80,TCP,HTTP,Varies,Varies,Varies,No,
Proxy-Internal,Legacy-Exchange,443,TCP,HTTPS,Varies,Varies,Varies,Yes,Only required when migrating to 2010 and you are maintaining the same namespace in a migration
Proxy-Internal,Legacy-Exchange,80,TCP,HTTP,Varies,Varies,Varies,No,Only required when migrating to 2010 and you are maintaining the same namespace in a migration
UnifiedMessaging,Hub-Transport,25,TCP,SMTP,Kerberos,Kerberos,Yes-using Transport Layer Security (TLS),Yes,
UnifiedMessaging,DC,389,TCP/UDP,LDAP,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
UnifiedMessaging,DC,3268,TCP,LDAP GC,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
UnifiedMessaging,DC,88,TCP/UDP,Kerberos,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
UnifiedMessaging,DC,53,TCP/UDP,DNS,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
UnifiedMessaging,DC,135,TCP,RPC Net Logon,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
UnifiedMessaging,Client-Access,5705-5077,TCP,???,Integrated Windows authentication (Negotiate),Basic-Digest-NTLM-Negotiate (Kerberos),Yes-using SSL,Yes,
UnifiedMessaging,Client-Access,5060-5062,TCP,SIP,By IP address,By IP address,Yes-using Session Initiation Protocol (SIP) over TLS,Yes,
UnifiedMessaging,Database-MAPI,135,TCP,RPC Net Logon,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
