"Name","ParentOU","OperatingSystem","Version","ServicePack","Description","Category","PasswordLastSet","LastLogon","Enabled","IsStale","WhenCreated","Notes"
"VDCNBUMS01","OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","10/31/2018 12:57:39 PM","11/10/2018 2:09:34 PM","True","False","10/17/2011 5:51:52 PM",""
"VDCNETAP01","OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","10/27/2018 11:47:41 PM","11/7/2018 9:13:44 AM","True","False","5/7/2010 9:22:16 PM",""
"VVCADCAP01","OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2012 R2 Standard","6.3 (9600)","","","Server","11/1/2018 5:35:03 AM","11/12/2018 10:12:51 AM","True","False","1/25/2017 6:17:57 PM",""
"VVCBIGDB01","OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","11/1/2018 10:23:15 PM","11/12/2018 12:20:59 AM","True","False","10/21/2014 9:22:53 PM",""
"VVCBIGDB02","OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2012 R2 Standard","6.3 (9600)","","","Server","11/3/2018 2:58:39 AM","11/14/2018 1:28:52 PM","True","False","2/27/2017 6:24:33 PM",""
"VVCEPOAP01","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2012 R2 Standard","6.3 (9600)","","","Server","11/15/2018 5:32:44 PM","11/7/2018 6:12:16 AM","True","False","4/12/2017 7:54:43 PM",""
"VVCEXCMB01","OU=Exchange,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","11/13/2018 6:05:29 PM","11/11/2018 1:35:03 PM","True","False","11/8/2013 11:02:28 PM",""
"VVCEXCMB02","OU=Exchange,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","10/21/2018 12:49:00 PM","11/9/2018 6:39:55 AM","True","False","11/11/2013 5:25:43 PM",""
"VVCEXCWA01","OU=Exchange,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/15/2018 9:12:16 AM","11/7/2018 2:14:57 PM","True","False","12/10/2013 12:41:31 AM",""
"VVCEXCWA02","OU=Exchange,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/14/2018 6:33:32 AM","11/10/2018 5:50:48 AM","True","False","1/3/2014 7:46:21 PM",""
"VVCJCLAP01","OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","10/18/2018 3:22:24 AM","11/8/2018 12:58:05 PM","True","False","1/31/2015 2:20:53 AM",""
"VVCLDRAP02","OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","7/19/2018 4:28:16 AM","8/10/2018 3:08:44 AM","True","True","6/11/2014 12:01:07 AM",""
"VVCMADDC02","OU=Domain Controllers,DC=corp,DC=vegas,DC=com","Windows Server 2016 Standard","10.0 (14393)","","","Server","11/11/2018 2:53:23 PM","11/11/2018 4:38:14 AM","True","False","6/9/2017 6:40:11 PM",""
"VVCNETAP02","OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","10/31/2018 8:07:31 AM","11/10/2018 4:14:52 PM","True","False","5/7/2010 6:03:22 PM",""
"VVCPRTAP01","OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","10/29/2018 11:58:34 AM","11/6/2018 6:42:42 AM","True","False","9/6/2012 6:42:15 PM",""
"VVCPWMAP01","OU=GPO Test,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/4/2018 2:53:38 PM","11/13/2018 4:43:56 AM","True","False","1/26/2015 6:37:54 PM",""
"VVCSITAP02","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2012 R2 Standard","6.3 (9600)","","","Server","11/9/2018 8:44:36 PM","11/7/2018 9:10:15 AM","True","False","11/8/2017 12:23:34 AM",""
"VVDBHRAP01","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/14/2018 10:03:26 AM","11/11/2018 11:15:15 PM","True","False","7/13/2012 4:28:04 PM",""
"VVDCICAP01","OU=GPO Test,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/8/2018 10:24:32 AM","11/11/2018 9:05:40 AM","True","False","7/8/2015 9:04:42 PM",""
"VVDCICWB01","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/5/2018 5:20:38 PM","11/12/2018 7:31:30 AM","True","False","7/8/2015 9:17:49 PM",""
"VVDSQLDB01","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","11/15/2018 10:50:48 AM","11/11/2018 4:06:07 PM","True","False","1/26/2010 9:36:18 PM",""
"VVDSQLDB02","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","10/17/2018 4:00:27 AM","11/7/2018 7:13:26 PM","True","False","7/10/2013 9:59:27 PM",""
"VVDSQLDB03","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2016 Standard","10.0 (14393)","","","Server","11/9/2018 2:35:06 AM","11/15/2018 12:34:25 AM","True","False","5/8/2018 9:01:10 PM",""
"VVDTTGDB01","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","10/31/2018 4:49:44 PM","11/9/2018 12:44:08 PM","True","False","4/27/2016 5:06:35 PM",""
"VVDTTGDB02","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","10/31/2018 10:56:06 PM","11/8/2018 7:30:06 PM","True","False","4/27/2016 5:06:57 PM",""
"VVDTWHAP01","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/9/2018 5:17:50 AM","11/12/2018 8:07:14 AM","True","False","9/2/2015 5:48:33 PM",""
"VVDTWHAP02","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/11/2018 2:49:14 AM","11/15/2018 10:07:27 AM","True","False","9/2/2015 5:48:55 PM",""
"VVDTWYAP01","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/9/2018 7:50:48 PM","11/10/2018 2:29:21 PM","True","False","8/30/2013 5:34:07 AM",""
"VVDTWYAP02","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server? 2008 Standard","6.0 (6002)","Service Pack 2","","Server","11/6/2018 4:27:30 AM","11/16/2018 4:24:05 AM","True","False","3/13/2017 8:44:14 PM",""
"VVNSQLDB01","OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","11/16/2018 2:07:21 AM","11/11/2018 2:26:10 AM","True","False","1/20/2010 7:30:29 PM",""
"VVNSQLDB02","OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2016 Standard","10.0 (14393)","","","Server","10/30/2018 4:46:46 AM","11/14/2018 3:03:25 PM","True","False","1/27/2018 4:05:44 AM",""
"VVSBHRAP01","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server? 2008 Standard","6.0 (6002)","Service Pack 2","","Server","10/31/2018 12:43:59 PM","11/6/2018 5:25:26 PM","True","False","9/23/2010 7:52:04 AM",""
"VVSBHRAP02","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server? 2008 Standard","6.0 (6002)","Service Pack 2","","Server","10/27/2018 4:54:21 PM","11/10/2018 4:49:59 PM","True","False","3/26/2015 5:54:15 PM",""
"VVSCLRAP02","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/3/2018 4:11:36 AM","11/15/2018 8:35:53 PM","True","False","2/23/2015 7:12:14 PM",""
"VVSCLRDB01","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2012 Standard","6.2 (9200)","","","Server","10/17/2018 9:05:43 PM","11/16/2018 5:24:43 AM","True","False","5/9/2014 4:59:21 PM",""
"VVSCLRDB02","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2012 Standard","6.2 (9200)","","","Server","10/20/2018 1:22:15 PM","11/6/2018 2:47:11 PM","True","False","3/23/2017 10:03:38 PM",""
"VVSCLRPX01","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","10/4/2018 6:01:09 PM","10/14/2018 4:29:46 PM","True","False","9/15/2010 9:49:31 PM",""
"VVSTHEAP01","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/15/2018 9:22:56 AM","11/14/2018 7:34:08 AM","True","False","5/19/2009 8:58:52 PM",""
"VVSTHEDB03","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","10/28/2018 7:11:18 PM","11/7/2018 11:38:00 PM","True","False","2/19/2015 6:00:03 PM",""
"VVSVDCDB01","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/2/2018 12:47:49 AM","11/11/2018 12:37:20 PM","True","False","2/24/2015 6:17:37 PM",""
"VVSVDCDB02","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","10/18/2018 5:01:50 PM","11/15/2018 12:31:11 AM","True","False","6/12/2015 4:44:33 PM",""
"VVSVDCDB03","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2016 Standard","10.0 (14393)","","","Server","11/10/2018 7:22:58 PM","11/14/2018 11:30:39 AM","True","False","10/11/2017 10:05:57 PM",""
"VVTNPSAP02","CN=Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","11/12/2018 2:07:39 AM","11/13/2018 12:47:18 PM","True","False","9/11/2018 6:59:38 PM",""
"VVTSQLDB01","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","11/15/2018 3:47:41 AM","11/12/2018 7:18:16 AM","True","False","1/26/2010 6:52:36 PM",""
"VVTSQLDB02","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","11/15/2018 9:14:02 PM","11/10/2018 3:35:18 PM","True","False","3/6/2013 5:18:51 PM",""
"VVTSQLDB03","OU=DB,OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2016 Standard","10.0 (14393)","","","Server","11/14/2018 6:49:18 PM","11/16/2018 8:05:03 AM","True","False","10/11/2017 7:35:15 PM",""
